micro_precision,micro_recall,micro_f1,macro_precision,macro_recall,macro_f1,mean_jaccard,exact_match_accuracy,bootstrap_id
0.4678714859437751,0.5861635220125786,0.5203796761585706,0.48821552059052054,0.6129392551892552,0.5173014363561184,0.369713,0.0,1
0.4655004859086492,0.5848595848595849,0.5183982683982683,0.4996878676878677,0.6262483349983351,0.525052049895652,0.37437200000000004,0.01,2
0.49341438703140833,0.6102756892230576,0.5456582633053222,0.5106960400710401,0.6189439171939172,0.5404287462305465,0.396179,0.02,3
0.4931756141947225,0.640661938534279,0.5573264781491003,0.5066587856587856,0.6584860556110557,0.553100537382845,0.401863,0.0,4
0.46839080459770116,0.6166456494325346,0.5323897659227,0.48454571817071823,0.632914516039516,0.5278962597762648,0.380218,0.01,5
0.4742268041237113,0.6028833551769331,0.530871321407963,0.5054993756243756,0.6344613580863581,0.5390857843267992,0.397322,0.04,6
0.46368159203980097,0.5982028241335045,0.5224215246636771,0.4774684204684204,0.6278737789987789,0.5156967864370594,0.3672329999999999,0.0,7
0.4918032786885246,0.6161745827984596,0.5470085470085471,0.5245251137751137,0.6511647102897103,0.5545662990241741,0.407954,0.02,8
0.4622093023255814,0.6123234916559692,0.5267807840971839,0.4665468142968143,0.6439048451548451,0.5160952627847996,0.3629829999999999,0.0,9
0.47261009667024706,0.6035665294924554,0.5301204819277109,0.5013856698856699,0.6327219724719724,0.5313347006505197,0.39240600000000003,0.04,10
0.4818181818181818,0.6131105398457584,0.5395927601809956,0.49450846375846375,0.6358047646797647,0.533123077151865,0.38764899999999997,0.01,11
0.49044585987261147,0.5961290322580645,0.5381479324403029,0.4936769896769897,0.6097795815295814,0.5215555286070117,0.38225599999999993,0.01,12
0.4709864603481625,0.618020304568528,0.5345773874862788,0.4941707459207459,0.6510433594183592,0.5330892096686939,0.37962,0.0,13
0.4762845849802372,0.617157490396927,0.5376464026770776,0.5034078699078699,0.6470439560439561,0.5440596297285335,0.40155799999999997,0.03,14
0.49853658536585366,0.6061684460260973,0.5471092077087795,0.5270982073482074,0.6353477910977912,0.5499004436519421,0.401331,0.02,15
0.4602012808783166,0.6225247524752475,0.5291951604418728,0.4750723304473305,0.6395760628260628,0.521848606469101,0.373857,0.0,16
0.5059203444564048,0.6002554278416348,0.5490654205607477,0.5224575424575424,0.6182815517815519,0.5497451510065338,0.40856000000000003,0.03,17
0.48595213319458896,0.6049222797927462,0.5389497980380842,0.5121164668664668,0.6276661810411811,0.5367864667324401,0.39450700000000005,0.02,18
